customer_id,signup_date,age_group,location,customer_segment
CUST_00083,2024-10-31,26-35,EU,SMB
CUST_00084,2023-11-13,18-25,APAC,SMB
CUST_00085,2023-12-31,26-35,APAC,Enterprise
CUST_00086,2024-07-02,55+,LATAM,Startup
CUST_00087,2023-08-26,36-45,LATAM,Enterprise
CUST_00088,2023-07-20,18-25,US,SMB
CUST_00089,2023-06-04,26-35,APAC,Enterprise
CUST_00090,2023-02-15,36-45,EU,SMB
CUST_00091,2023-12-12,55+,US,SMB
CUST_00092,2024-05-16,55+,EU,SMB
CUST_00093,2023-12-25,55+,EU,Startup
CUST_00094,2024-03-16,55+,US,Enterprise
CUST_00095,2024-02-06,55+,APAC,SMB
CUST_00096,2023-04-12,36-45,LATAM,Startup
CUST_00097,2024-02-11,46-55,US,SMB
CUST_00098,2023-12-24,26-35,US,Enterprise
CUST_00099,2024-02-06,26-35,EU,SMB
CUST_00100,2023-12-04,46-55,US,SMB
CUST_00101,2024-06-30,18-25,APAC,Enterprise
CUST_00102,2024-05-25,46-55,LATAM,Enterprise
CUST_00103,2023-06-15,18-25,LATAM,Enterprise
CUST_00104,2023-04-23,36-45,EU,Enterprise
CUST_00105,2023-02-24,55+,EU,Startup
CUST_00106,2024-06-19,18-25,EU,Enterprise
CUST_00107,2023-01-27,55+,EU,Enterprise
CUST_00108,2024-02-21,55+,APAC,SMB
CUST_00109,2024-05-18,26-35,APAC,SMB
CUST_00110,2023-08-17,46-55,EU,Enterprise
CUST_00111,2024-03-21,36-45,LATAM,SMB
CUST_00112,2023-07-03,46-55,LATAM,Enterprise
CUST_00113,2023-02-17,46-55,US,Enterprise
CUST_00114,2023-03-15,18-25,EU,SMB
CUST_00115,2024-11-18,26-35,US,Enterprise
CUST_00116,2024-11-26,55+,EU,SMB
CUST_00117,2023-05-24,26-35,US,SMB
CUST_00118,2023-02-25,18-25,US,SMB
CUST_00119,2023-05-17,18-25,APAC,Startup
CUST_00120,2023-01-19,18-25,EU,SMB
CUST_00121,2024-05-07,46-55,APAC,SMB
CUST_00122,2024-11-10,18-25,LATAM,Startup
CUST_00123,2024-01-16,55+,EU,Enterprise
CUST_00124,2024-09-17,46-55,EU,Enterprise
CUST_00125,2023-07-16,18-25,EU,SMB
CUST_00126,2023-11-15,18-25,APAC,Enterprise
CUST_00127,2024-10-13,55+,APAC,SMB
CUST_00128,2023-01-21,46-55,LATAM,SMB
CUST_00129,2023-08-29,46-55,EU,SMB
CUST_00130,2024-06-11,55+,LATAM,SMB
CUST_00131,2023-06-03,18-25,LATAM,Enterprise
CUST_00132,2023-12-16,36-45,LATAM,Startup
CUST_00133,2024-04-25,55+,LATAM,Startup
CUST_00134,2023-07-02,26-35,APAC,Enterprise
CUST_00135,2023-04-21,26-35,LATAM,Startup
CUST_00136,2024-01-05,55+,LATAM,SMB
CUST_00137,2023-02-01,36-45,US,Enterprise
CUST_00138,2024-07-08,55+,LATAM,Enterprise
CUST_00139,2024-10-18,46-55,APAC,SMB
CUST_00140,2024-11-30,46-55,US,SMB
CUST_00141,2023-08-05,46-55,APAC,SMB
CUST_00142,2023-05-20,55+,EU,SMB
CUST_00143,2023-07-22,18-25,US,SMB
CUST_00144,2024-10-13,36-45,EU,Startup
CUST_00145,2023-04-26,26-35,APAC,SMB
CUST_00146,2023-06-23,46-55,US,Startup
CUST_00147,2024-02-10,46-55,LATAM,Enterprise
CUST_00148,2024-04-09,18-25,EU,SMB
CUST_00149,2024-07-17,26-35,APAC,SMB
CUST_00150,2024-04-20,18-25,LATAM,SMB
CUST_00151,2024-11-29,36-45,US,Startup
CUST_00152,2024-01-02,36-45,LATAM,Enterprise
CUST_00153,2024-08-28,26-35,EU,Enterprise
CUST_00154,2024-03-21,46-55,APAC,Startup
CUST_00155,2024-03-10,18-25,LATAM,Startup
CUST_00156,2024-11-08,46-55,EU,Startup
CUST_00157,2023-05-26,36-45,US,Startup
CUST_00158,2023-07-20,36-45,LATAM,SMB
CUST_00159,2024-06-17,55+,APAC,SMB
CUST_00160,2023-09-18,18-25,LATAM,Enterprise
CUST_00161,2023-12-31,26-35,EU,Enterprise
CUST_00162,2024-07-07,26-35,LATAM,Enterprise
CUST_00163,2024-04-29,26-35,US,Startup
CUST_00164,2023-08-31,55+,LATAM,Startup
CUST_00165,2023-05-30,55+,US,Startup
CUST_00166,2024-12-07,18-25,US,Startup
CUST_00167,2024-02-05,18-25,US,Enterprise
CUST_00168,2023-10-28,18-25,EU,Enterprise
CUST_00169,2023-10-07,18-25,US,Startup
CUST_00170,2024-01-14,26-35,LATAM,Startup
CUST_00171,2024-07-19,26-35,LATAM,Enterprise
CUST_00172,2023-02-26,55+,APAC,Startup
CUST_00173,2023-04-11,55+,APAC,Startup
CUST_00174,2024-08-18,36-45,LATAM,Enterprise
CUST_00175,2023-12-25,26-35,LATAM,Enterprise
CUST_00176,2024-03-08,26-35,APAC,Startup
CUST_00177,2023-12-28,36-45,US,Startup
CUST_00178,2024-07-09,55+,LATAM,Startup
CUST_00179,2024-05-18,26-35,EU,Enterprise
CUST_00180,2023-02-28,18-25,LATAM,SMB
CUST_00181,2024-01-24,26-35,APAC,Enterprise
CUST_00182,2023-09-22,18-25,LATAM,Startup
CUST_00183,2023-07-28,55+,EU,Enterprise
CUST_00184,2023-05-02,18-25,LATAM,SMB
CUST_00185,2024-07-30,18-25,APAC,Enterprise
CUST_00186,2024-04-22,26-35,APAC,SMB
CUST_00187,2023-08-24,55+,EU,Enterprise
CUST_00188,2024-03-10,26-35,US,Enterprise
CUST_00189,2024-07-03,36-45,EU,Enterprise
CUST_00190,2024-03-15,18-25,US,SMB
CUST_00191,2024-04-06,18-25,LATAM,SMB
CUST_00192,2024-06-18,18-25,LATAM,SMB
CUST_00193,2024-08-01,55+,US,SMB
CUST_00194,2023-02-24,55+,APAC,SMB
CUST_00195,2024-07-26,55+,US,Startup
CUST_00196,2023-01-23,36-45,APAC,Enterprise
CUST_00197,2024-12-21,46-55,US,SMB
CUST_00198,2024-08-03,18-25,APAC,Enterprise
CUST_00199,2023-05-10,46-55,EU,Enterprise
CUST_00200,2023-07-12,26-35,EU,Enterprise
CUST_00201,2023-03-21,46-55,APAC,Startup
CUST_00202,2024-03-07,55+,EU,Startup
CUST_00203,2023-02-11,55+,EU,Startup
CUST_00204,2024-04-13,55+,US,SMB
CUST_00205,2024-04-13,36-45,APAC,Startup
CUST_00206,2024-04-08,18-25,APAC,Enterprise
CUST_00207,2024-10-30,18-25,EU,SMB
CUST_00208,2023-03-07,55+,US,Startup
CUST_00209,2023-10-16,26-35,LATAM,Startup
CUST_00210,2023-05-04,18-25,EU,Enterprise
CUST_00211,2024-07-09,26-35,APAC,Enterprise
CUST_00212,2023-11-04,55+,LATAM,Startup
CUST_00213,2024-12-14,46-55,US,SMB
CUST_00214,2024-02-19,26-35,LATAM,Enterprise
CUST_00215,2024-10-19,46-55,US,Startup
CUST_00216,2023-03-05,36-45,EU,Startup
CUST_00217,2024-09-20,18-25,EU,SMB
CUST_00218,2024-08-11,36-45,LATAM,Startup
CUST_00219,2024-10-08,26-35,EU,Enterprise
CUST_00220,2024-09-08,18-25,APAC,Enterprise
CUST_00221,2024-09-18,36-45,APAC,Enterprise
CUST_00222,2024-06-03,55+,APAC,Enterprise
CUST_00223,2023-02-14,18-25,APAC,SMB
CUST_00224,2023-06-30,26-35,LATAM,Startup
CUST_00225,2023-08-26,46-55,EU,Startup
CUST_00226,2023-10-12,55+,APAC,SMB
CUST_00227,2024-03-14,55+,APAC,Startup
CUST_00228,2024-10-11,46-55,EU,Enterprise
CUST_00229,2024-08-10,55+,APAC,Enterprise
CUST_00230,2023-08-13,46-55,APAC,Startup
CUST_00231,2024-12-12,26-35,US,SMB
CUST_00232,2024-06-26,26-35,LATAM,Enterprise
CUST_00233,2023-10-20,26-35,LATAM,Enterprise
CUST_00234,2024-01-15,55+,APAC,Enterprise
CUST_00235,2024-04-08,26-35,APAC,Enterprise
CUST_00236,2023-12-05,26-35,EU,Startup
CUST_00237,2024-06-11,46-55,LATAM,SMB
CUST_00238,2023-11-04,26-35,US,Startup
CUST_00239,2023-12-16,55+,APAC,Enterprise
CUST_00240,2023-05-23,46-55,EU,Enterprise
CUST_00241,2023-05-16,46-55,US,SMB
CUST_00242,2023-09-02,26-35,US,Startup
CUST_00243,2023-05-09,18-25,LATAM,Startup
CUST_00244,2023-04-18,26-35,LATAM,Enterprise
CUST_00245,2024-12-06,18-25,EU,Startup
CUST_00246,2024-07-28,18-25,EU,Startup
CUST_00247,2023-09-03,55+,US,Startup
CUST_00248,2024-03-12,18-25,EU,Enterprise
CUST_00249,2024-01-28,46-55,US,Enterprise
CUST_00250,2023-11-06,26-35,APAC,Startup
CUST_00251,2024-11-26,55+,APAC,SMB
CUST_00252,2024-10-27,36-45,EU,SMB
CUST_00253,2024-07-17,18-25,APAC,Enterprise
CUST_00254,2024-12-21,26-35,EU,SMB
CUST_00255,2023-09-11,26-35,APAC,SMB
CUST_00256,2023-02-17,36-45,APAC,Startup
CUST_00257,2023-09-20,26-35,LATAM,Startup
CUST_00258,2024-03-21,55+,US,Enterprise
CUST_00259,2023-03-17,55+,APAC,Enterprise
CUST_00260,2023-11-20,36-45,US,Enterprise
CUST_00261,2024-04-01,18-25,APAC,Enterprise
CUST_00262,2024-06-04,46-55,LATAM,SMB
CUST_00263,2024-07-02,26-35,LATAM,Startup
CUST_00264,2024-11-01,46-55,LATAM,Enterprise
CUST_00265,2023-06-30,55+,APAC,Enterprise
CUST_00266,2023-11-09,55+,US,SMB
CUST_00267,2023-11-01,36-45,US,Startup
CUST_00268,2023-05-03,26-35,LATAM,SMB
CUST_00269,2024-09-08,36-45,LATAM,Startup
CUST_00270,2023-02-01,26-35,EU,SMB
CUST_00271,2023-08-05,55+,EU,Startup
CUST_00272,2023-03-17,26-35,LATAM,Startup
CUST_00273,2023-06-05,26-35,LATAM,Startup
CUST_00274,2024-08-30,26-35,LATAM,Startup
CUST_00275,2023-12-02,26-35,LATAM,SMB
CUST_00276,2023-07-27,36-45,EU,Startup
CUST_00277,2024-04-19,46-55,LATAM,Startup
CUST_00278,2023-02-24,26-35,APAC,SMB
CUST_00279,2024-11-06,26-35,APAC,SMB
CUST_00280,2023-06-05,55+,LATAM,SMB
CUST_00281,2023-08-10,18-25,LATAM,Enterprise
CUST_00282,2024-06-19,26-35,APAC,Startup
CUST_00283,2024-05-11,18-25,APAC,SMB
CUST_00284,2024-01-26,46-55,EU,Startup
CUST_00285,2023-12-11,36-45,EU,Startup
CUST_00286,2024-06-20,18-25,US,Startup
CUST_00287,2023-07-11,18-25,APAC,Startup
CUST_00288,2024-12-15,46-55,APAC,Startup
CUST_00289,2023-06-29,36-45,LATAM,SMB
CUST_00290,2023-01-18,18-25,APAC,SMB
CUST_00291,2023-07-23,36-45,US,SMB
CUST_00292,2024-05-12,55+,APAC,Enterprise
CUST_00293,2023-12-11,36-45,US,SMB
CUST_00294,2024-01-23,46-55,APAC,Enterprise
CUST_00295,2024-01-26,18-25,LATAM,Enterprise
CUST_00296,2024-11-15,18-25,APAC,SMB
CUST_00297,2023-02-15,26-35,EU,Startup
CUST_00298,2023-01-05,36-45,LATAM,Startup
CUST_00299,2024-10-01,36-45,EU,SMB
CUST_00300,2024-03-10,36-45,US,SMB
CUST_00301,2024-07-13,18-25,LATAM,Enterprise
CUST_00302,2023-08-09,18-25,APAC,SMB
CUST_00303,2023-11-12,36-45,EU,SMB
CUST_00304,2023-08-20,26-35,LATAM,Startup
CUST_00305,2024-07-24,18-25,APAC,Startup
CUST_00306,2023-08-05,26-35,US,Enterprise
CUST_00307,2023-10-20,18-25,US,Enterprise
CUST_00308,2024-09-15,55+,EU,Startup
CUST_00309,2023-11-25,46-55,US,Startup
CUST_00310,2024-01-24,55+,APAC,Enterprise
CUST_00311,2024-03-25,46-55,EU,Enterprise
CUST_00312,2024-12-16,46-55,APAC,Enterprise
CUST_00313,2024-12-10,46-55,APAC,SMB
CUST_00314,2024-04-09,46-55,LATAM,Startup
CUST_00315,2024-03-03,55+,US,Startup
CUST_00316,2023-10-29,55+,APAC,Enterprise
CUST_00317,2023-10-13,18-25,EU,Startup
CUST_00318,2023-11-05,46-55,EU,Enterprise
CUST_00319,2024-03-05,18-25,APAC,Startup
CUST_00320,2023-02-19,18-25,APAC,Enterprise
CUST_00321,2024-09-28,55+,EU,Startup
CUST_00322,2024-01-12,36-45,APAC,Startup
CUST_00323,2024-08-28,18-25,US,SMB
CUST_00324,2023-06-12,55+,LATAM,Startup
CUST_00325,2024-12-06,26-35,US,Startup
CUST_00326,2024-04-23,36-45,US,Startup
CUST_00327,2023-11-08,46-55,US,Startup
CUST_00328,2024-05-18,26-35,EU,SMB
CUST_00329,2024-02-25,36-45,US,Enterprise
CUST_00330,2023-04-21,46-55,LATAM,SMB
CUST_00331,2024-03-02,55+,APAC,Enterprise
CUST_00332,2024-12-25,26-35,LATAM,Enterprise
CUST_00333,2023-01-07,26-35,EU,SMB
CUST_00334,2023-10-09,55+,APAC,Enterprise
CUST_00335,2024-03-11,18-25,LATAM,Enterprise
CUST_00336,2023-09-09,46-55,APAC,Enterprise
CUST_00337,2023-06-14,36-45,APAC,SMB
CUST_00338,2024-04-06,46-55,LATAM,Startup
CUST_00339,2023-01-27,46-55,US,SMB
CUST_00340,2023-01-19,26-35,EU,Enterprise
CUST_00341,2023-02-26,46-55,APAC,Startup
CUST_00342,2024-10-20,18-25,EU,SMB
CUST_00343,2024-04-18,46-55,US,Enterprise
CUST_00344,2023-02-22,55+,EU,SMB
CUST_00345,2024-10-08,18-25,APAC,Enterprise
CUST_00346,2023-04-16,55+,LATAM,Startup
CUST_00347,2024-02-09,55+,EU,Startup
CUST_00348,2023-07-02,55+,LATAM,Enterprise
CUST_00349,2023-04-23,26-35,APAC,Startup
CUST_00350,2023-08-08,55+,APAC,Startup
CUST_00351,2023-05-31,46-55,APAC,SMB
CUST_00352,2023-12-23,18-25,US,SMB
CUST_00353,2024-10-17,18-25,LATAM,SMB
CUST_00354,2024-10-23,18-25,APAC,Startup
CUST_00355,2023-09-19,18-25,US,Startup
CUST_00356,2023-11-07,55+,EU,Startup
CUST_00357,2023-12-19,46-55,US,Startup
CUST_00358,2024-01-15,26-35,EU,Enterprise
CUST_00359,2023-03-21,18-25,EU,Enterprise
CUST_00360,2023-08-03,26-35,APAC,Enterprise
CUST_00361,2024-11-11,46-55,US,Startup
CUST_00362,2024-05-07,36-45,EU,Startup
CUST_00363,2024-02-17,36-45,APAC,Enterprise
CUST_00364,2024-05-11,46-55,LATAM,Startup
CUST_00365,2023-05-01,46-55,APAC,SMB
CUST_00366,2023-04-12,55+,APAC,Startup
CUST_00367,2023-11-07,26-35,US,SMB
CUST_00368,2023-02-06,55+,US,SMB
CUST_00369,2024-02-08,55+,US,Enterprise
CUST_00370,2024-01-25,26-35,US,Enterprise
CUST_00371,2023-07-11,18-25,EU,Enterprise
CUST_00372,2024-05-05,46-55,APAC,SMB
CUST_00373,2023-04-09,18-25,US,Enterprise
CUST_00374,2024-05-06,55+,APAC,SMB
CUST_00375,2023-02-14,36-45,LATAM,Enterprise
CUST_00376,2023-02-20,18-25,APAC,Startup
CUST_00377,2023-01-14,55+,US,Enterprise
CUST_00378,2024-05-09,36-45,US,SMB
CUST_00379,2024-04-20,55+,EU,Startup
CUST_00380,2024-09-22,26-35,EU,Enterprise
CUST_00381,2024-08-02,46-55,LATAM,Startup
CUST_00382,2024-09-30,55+,APAC,SMB
CUST_00383,2023-05-16,55+,EU,SMB
CUST_00384,2024-08-27,46-55,EU,Enterprise
CUST_00385,2024-08-24,46-55,US,SMB
CUST_00386,2024-11-11,18-25,LATAM,Enterprise
CUST_00387,2024-11-20,18-25,EU,SMB
CUST_00388,2024-02-04,46-55,EU,Startup
CUST_00389,2024-12-24,18-25,US,Enterprise
CUST_00390,2024-10-11,36-45,LATAM,Startup
CUST_00391,2024-05-18,36-45,APAC,SMB
CUST_00392,2023-12-07,18-25,US,SMB
CUST_00393,2024-04-03,55+,APAC,Startup
CUST_00394,2023-12-01,46-55,US,Enterprise
CUST_00395,2023-12-09,26-35,US,Enterprise
CUST_00396,2024-05-10,36-45,LATAM,SMB
CUST_00397,2024-10-28,36-45,US,SMB
CUST_00398,2024-09-20,26-35,APAC,Startup
CUST_00399,2023-05-17,55+,EU,Startup
CUST_00400,2024-06-12,26-35,APAC,Startup
CUST_00401,2024-09-25,55+,US,SMB
CUST_00402,2024-03-23,46-55,EU,Enterprise
CUST_00403,2023-07-19,46-55,LATAM,SMB
CUST_00404,2023-02-12,55+,APAC,Enterprise
CUST_00405,2023-10-11,36-45,US,Enterprise
CUST_00406,2024-09-21,26-35,EU,Startup
CUST_00407,2024-07-10,26-35,APAC,Startup
CUST_00408,2023-04-14,26-35,EU,Enterprise
CUST_00409,2023-06-20,26-35,APAC,Startup
CUST_00410,2024-04-15,18-25,US,Enterprise
CUST_00411,2024-08-29,36-45,EU,Startup
CUST_00412,2023-05-30,26-35,LATAM,Startup
CUST_00413,2024-04-26,36-45,APAC,SMB
CUST_00414,2023-01-17,18-25,EU,Startup
CUST_00415,2024-08-21,36-45,EU,SMB
CUST_00416,2023-12-19,55+,US,Enterprise
CUST_00417,2023-04-06,36-45,US,Startup
CUST_00418,2024-03-09,46-55,APAC,SMB
CUST_00419,2023-08-05,18-25,EU,Startup
CUST_00420,2024-04-05,36-45,APAC,SMB
CUST_00421,2023-05-03,18-25,LATAM,SMB
CUST_00422,2024-02-29,26-35,EU,SMB
CUST_00423,2023-08-06,46-55,APAC,SMB
CUST_00424,2023-04-21,46-55,US,Enterprise
CUST_00425,2024-05-07,26-35,EU,SMB
CUST_00426,2024-05-08,36-45,EU,Enterprise
CUST_00427,2024-07-24,18-25,US,Enterprise
CUST_00428,2024-10-16,55+,APAC,Enterprise
CUST_00429,2023-11-11,46-55,US,Startup
CUST_00430,2024-05-16,36-45,US,Enterprise
CUST_00431,2024-04-11,46-55,APAC,Enterprise
CUST_00432,2024-08-23,18-25,APAC,Enterprise
CUST_00433,2023-11-29,18-25,LATAM,Enterprise
CUST_00434,2024-09-18,26-35,LATAM,Startup
CUST_00435,2023-02-19,18-25,US,Startup
CUST_00436,2024-07-06,46-55,EU,Enterprise
CUST_00437,2024-11-03,36-45,APAC,Startup
CUST_00438,2023-04-12,55+,APAC,Enterprise
CUST_00439,2023-05-20,36-45,US,SMB
CUST_00440,2024-09-17,55+,LATAM,SMB
CUST_00441,2024-07-20,55+,APAC,Startup
CUST_00442,2023-02-16,18-25,EU,Startup
CUST_00443,2023-11-21,55+,LATAM,Startup
CUST_00444,2024-01-22,55+,EU,Startup
CUST_00445,2023-12-30,36-45,APAC,Enterprise
CUST_00446,2023-03-23,46-55,EU,Startup
CUST_00447,2024-10-22,18-25,LATAM,Startup
CUST_00448,2024-09-10,36-45,US,SMB
CUST_00449,2023-09-26,26-35,EU,SMB
CUST_00450,2024-03-31,46-55,APAC,Startup
CUST_00451,2024-10-28,36-45,EU,Enterprise
CUST_00452,2023-01-15,18-25,US,SMB
CUST_00453,2024-11-20,36-45,LATAM,SMB
CUST_00454,2023-02-01,26-35,LATAM,Enterprise
CUST_00455,2024-08-13,55+,US,SMB
CUST_00456,2024-05-27,55+,APAC,Enterprise
CUST_00457,2023-09-02,46-55,APAC,SMB
CUST_00458,2023-09-15,55+,US,Startup
CUST_00459,2024-08-11,55+,US,SMB
CUST_00460,2023-10-16,18-25,LATAM,Enterprise
CUST_00461,2024-03-10,36-45,APAC,Enterprise
CUST_00462,2024-09-25,55+,US,Startup
CUST_00463,2023-12-31,55+,US,Startup
CUST_00464,2023-08-06,46-55,APAC,Startup
CUST_00465,2024-12-30,18-25,EU,Enterprise
CUST_00466,2023-12-09,46-55,EU,Startup
CUST_00467,2023-09-21,26-35,APAC,Startup
CUST_00468,2023-07-19,46-55,US,Enterprise
CUST_00469,2023-01-27,26-35,APAC,SMB
CUST_00470,2024-06-08,26-35,US,Startup
CUST_00471,2023-09-28,18-25,APAC,Enterprise
CUST_00472,2023-09-07,18-25,EU,Startup
CUST_00473,2023-01-06,55+,LATAM,Enterprise
CUST_00474,2023-07-16,18-25,EU,SMB
CUST_00475,2023-04-09,18-25,US,Startup
CUST_00476,2024-12-07,55+,APAC,SMB
CUST_00477,2023-06-06,36-45,US,SMB
CUST_00478,2023-02-16,46-55,EU,SMB
CUST_00479,2024-07-27,36-45,LATAM,SMB
CUST_00480,2023-01-01,26-35,LATAM,Enterprise
CUST_00481,2024-08-03,26-35,LATAM,Startup
CUST_00482,2024-03-28,26-35,APAC,SMB
CUST_00483,2024-03-09,18-25,LATAM,Enterprise
CUST_00484,2023-04-03,46-55,EU,Enterprise
CUST_00485,2024-03-28,18-25,APAC,Enterprise
CUST_00486,2024-01-18,55+,EU,Enterprise
CUST_00487,2024-11-10,18-25,LATAM,SMB
CUST_00488,2023-02-01,18-25,EU,SMB
CUST_00489,2024-07-04,26-35,APAC,Startup
CUST_00490,2023-09-22,26-35,US,SMB
CUST_00491,2023-11-15,46-55,US,Startup
CUST_00492,2024-09-01,36-45,US,SMB
CUST_00493,2023-05-23,18-25,EU,SMB
CUST_00494,2023-08-11,18-25,US,Enterprise
CUST_00495,2023-12-20,18-25,APAC,Enterprise
CUST_00496,2024-04-02,18-25,LATAM,Enterprise
CUST_00497,2024-05-02,46-55,EU,Startup
CUST_00498,2024-11-02,18-25,LATAM,Startup
CUST_00499,2023-12-01,18-25,LATAM,Enterprise
CUST_00500,2024-02-24,26-35,EU,Startup
CUST_00501,2023-03-31,46-55,US,Enterprise
CUST_00502,2024-03-30,55+,EU,SMB
CUST_00503,2024-08-26,26-35,US,Enterprise
CUST_00504,2024-03-16,26-35,US,SMB
CUST_00505,2023-02-11,26-35,EU,SMB
CUST_00506,2024-08-26,46-55,LATAM,Startup
CUST_00507,2023-08-25,26-35,EU,SMB
CUST_00508,2024-10-21,55+,APAC,SMB
CUST_00509,2023-03-09,36-45,LATAM,Startup
CUST_00510,2023-08-21,18-25,APAC,SMB
CUST_00511,2024-07-01,46-55,EU,SMB
CUST_00512,2024-08-12,36-45,EU,SMB
CUST_00513,2023-11-16,46-55,EU,Enterprise
CUST_00514,2023-04-02,55+,EU,Startup
CUST_00515,2024-11-24,36-45,APAC,Startup
CUST_00516,2024-03-21,46-55,LATAM,SMB
CUST_00517,2023-08-31,26-35,US,Startup
CUST_00518,2023-04-13,36-45,LATAM,Startup
CUST_00519,2024-05-04,36-45,EU,Startup
CUST_00520,2024-06-18,36-45,APAC,Startup
CUST_00521,2023-12-16,46-55,LATAM,Startup
CUST_00522,2023-12-15,46-55,US,Enterprise
CUST_00523,2023-12-18,55+,LATAM,SMB
CUST_00524,2023-04-23,46-55,EU,Startup
CUST_00525,2024-11-01,18-25,EU,SMB
CUST_00526,2024-09-28,26-35,US,SMB
CUST_00527,2023-02-19,18-25,US,SMB
CUST_00528,2024-02-12,18-25,LATAM,Enterprise
CUST_00529,2023-07-20,36-45,LATAM,SMB
CUST_00530,2024-03-07,18-25,EU,Startup
CUST_00531,2023-04-27,55+,US,Enterprise
CUST_00532,2024-05-24,26-35,LATAM,Startup
CUST_00533,2024-12-02,46-55,LATAM,Enterprise
CUST_00534,2024-07-24,46-55,EU,SMB
CUST_00535,2024-08-10,36-45,EU,SMB
CUST_00536,2023-01-12,55+,APAC,Enterprise
CUST_00537,2023-06-15,26-35,EU,Enterprise
