customer_id,customer_segment,age_group,location,purchase_frequency,total_spent,avg_order_value,first_purchase,last_purchase,clv_segment
CUST_00038,Startup,46-55,LATAM,2,529.75,264.875,2024-06-06,2024-09-12,High Value
CUST_00039,Startup,18-25,APAC,0,0.0,0.0,,,No Purchase
CUST_00040,SMB,36-45,EU,4,756.66,189.165,2023-05-16,2023-10-16,High Value
CUST_00041,Enterprise,36-45,APAC,1,397.58,397.58,2024-06-23,2024-06-23,High Value
CUST_00042,SMB,36-45,EU,1,237.46,237.46,2023-07-01,2023-07-01,Medium Value
CUST_00043,Startup,36-45,US,0,0.0,0.0,,,No Purchase
CUST_00044,Enterprise,26-35,APAC,2,441.33,220.665,2023-03-21,2023-05-09,High Value
CUST_00045,Startup,36-45,LATAM,0,0.0,0.0,,,No Purchase
CUST_00046,SMB,18-25,LATAM,1,237.77,237.77,2024-12-28,2024-12-28,Medium Value
CUST_00047,SMB,46-55,LATAM,1,107.0,107.0,2024-06-29,2024-06-29,Medium Value
CUST_00048,Startup,46-55,EU,0,0.0,0.0,,,No Purchase
CUST_00049,Startup,55+,APAC,0,0.0,0.0,,,No Purchase
CUST_00050,Startup,26-35,LATAM,1,342.49,342.49,2023-07-12,2023-07-12,High Value
CUST_00051,Enterprise,26-35,LATAM,1,302.23,302.23,2024-06-17,2024-06-17,High Value
CUST_00052,SMB,36-45,LATAM,2,402.93,201.465,2023-05-09,2023-06-12,High Value
CUST_00053,Startup,18-25,US,0,0.0,0.0,,,No Purchase
CUST_00054,Startup,18-25,EU,1,71.19,71.19,2024-07-21,2024-07-21,Low Value
CUST_00055,Startup,26-35,US,1,196.1,196.1,2024-03-16,2024-03-16,Medium Value
CUST_00056,SMB,18-25,APAC,3,667.76,222.58666666666667,2024-05-11,2024-11-25,High Value
CUST_00057,Enterprise,18-25,EU,1,233.03,233.03,2023-01-26,2023-01-26,Medium Value
CUST_00058,Enterprise,55+,LATAM,1,94.07,94.07,2024-01-07,2024-01-07,Low Value
CUST_00059,Enterprise,26-35,LATAM,2,440.19000000000005,220.09500000000003,2023-02-27,2023-06-01,High Value
CUST_00060,Enterprise,36-45,US,1,101.89,101.89,2023-10-26,2023-10-26,Medium Value
CUST_00061,Enterprise,46-55,US,1,57.7,57.7,2024-06-25,2024-06-25,Low Value
CUST_00062,SMB,26-35,LATAM,1,125.07,125.07,2023-02-22,2023-02-22,Medium Value
CUST_00063,Enterprise,18-25,LATAM,1,251.08,251.08,2024-04-01,2024-04-01,Medium Value
CUST_00064,Startup,26-35,LATAM,0,0.0,0.0,,,No Purchase
CUST_00065,SMB,36-45,US,0,0.0,0.0,,,No Purchase
CUST_00066,Startup,36-45,APAC,1,392.51,392.51,2024-04-16,2024-04-16,High Value
CUST_00067,Enterprise,36-45,LATAM,1,465.32,465.32,2024-04-17,2024-04-17,High Value
CUST_00068,Startup,46-55,EU,1,58.57,58.57,2024-01-02,2024-01-02,Low Value
CUST_00069,Startup,55+,US,1,221.49,221.49,2023-03-28,2023-03-28,Medium Value
CUST_00070,Enterprise,18-25,LATAM,1,440.18,440.18,2024-10-15,2024-10-15,High Value
CUST_00071,Startup,36-45,APAC,1,495.78,495.78,2024-07-24,2024-07-24,High Value
CUST_00072,Enterprise,26-35,APAC,1,338.08,338.08,2023-06-28,2023-06-28,High Value
CUST_00073,Startup,36-45,LATAM,1,341.02,341.02,2024-08-18,2024-08-18,High Value
CUST_00074,Enterprise,55+,US,0,0.0,0.0,,,No Purchase
CUST_00075,Startup,46-55,EU,0,0.0,0.0,,,No Purchase
CUST_00076,Startup,18-25,APAC,2,503.13,251.565,2024-03-27,2024-07-21,High Value
CUST_00077,Startup,36-45,LATAM,2,455.4,227.7,2023-04-11,2023-07-26,High Value
CUST_00078,Enterprise,26-35,APAC,1,78.38,78.38,2023-04-13,2023-04-13,Low Value
CUST_00079,SMB,36-45,APAC,0,0.0,0.0,,,No Purchase
CUST_00080,Startup,36-45,LATAM,1,274.06,274.06,2024-04-29,2024-04-29,Medium Value
CUST_00081,Enterprise,26-35,LATAM,1,474.02,474.02,2024-10-15,2024-10-15,High Value
CUST_00082,SMB,26-35,US,2,386.8,193.4,2023-12-08,2024-03-21,High Value
CUST_00083,Startup,55+,APAC,3,556.39,185.46333333333334,2024-04-28,2024-08-28,High Value
CUST_00084,Enterprise,26-35,US,0,0.0,0.0,,,No Purchase
CUST_00085,Enterprise,55+,LATAM,0,0.0,0.0,,,No Purchase
CUST_00086,Enterprise,46-55,US,1,275.61,275.61,2024-11-13,2024-11-13,Medium Value
CUST_00087,Startup,36-45,LATAM,1,245.33,245.33,2024-03-29,2024-03-29,Medium Value
CUST_00088,SMB,55+,APAC,1,357.22,357.22,2023-08-07,2023-08-07,High Value
CUST_00089,Enterprise,46-55,US,3,417.24,139.08,2024-09-05,2024-12-25,High Value
CUST_00090,Enterprise,26-35,LATAM,0,0.0,0.0,,,No Purchase
CUST_00091,Enterprise,26-35,LATAM,2,391.67999999999995,195.83999999999997,2024-06-28,2024-10-08,High Value
CUST_00092,SMB,55+,EU,3,620.07,206.69000000000003,2024-08-30,2024-12-23,High Value
CUST_00093,Startup,18-25,EU,1,194.02,194.02,2023-02-10,2023-02-10,Medium Value
CUST_00094,SMB,36-45,LATAM,1,351.48,351.48,2024-07-08,2024-07-08,High Value
CUST_00095,SMB,18-25,US,0,0.0,0.0,,,No Purchase
CUST_00096,Startup,46-55,US,1,473.5,473.5,2024-11-13,2024-11-13,High Value
CUST_00097,Enterprise,46-55,US,3,756.55,252.1833333333333,2023-06-11,2023-10-19,High Value
CUST_00098,Startup,46-55,EU,3,691.3,230.4333333333333,2024-04-02,2024-08-11,High Value
CUST_00099,Enterprise,18-25,APAC,1,272.23,272.23,2024-07-26,2024-07-26,Medium Value
CUST_00100,Startup,26-35,EU,1,362.06,362.06,2024-06-15,2024-06-15,High Value
CUST_00101,Startup,18-25,US,0,0.0,0.0,,,No Purchase
CUST_00102,Enterprise,46-55,LATAM,2,250.07999999999998,125.03999999999999,2023-10-06,2023-11-14,Medium Value
CUST_00103,Enterprise,36-45,EU,0,0.0,0.0,,,No Purchase
CUST_00104,SMB,55+,US,0,0.0,0.0,,,No Purchase
CUST_00105,SMB,36-45,US,1,302.99,302.99,2023-09-29,2023-09-29,High Value
CUST_00106,Enterprise,26-35,US,0,0.0,0.0,,,No Purchase
CUST_00107,Enterprise,55+,APAC,2,319.97,159.985,2023-03-27,2023-07-09,High Value
CUST_00108,Startup,36-45,APAC,1,266.63,266.63,2024-06-04,2024-06-04,Medium Value
CUST_00109,Startup,55+,APAC,1,348.76,348.76,2024-07-12,2024-07-12,High Value
CUST_00110,Enterprise,26-35,LATAM,0,0.0,0.0,,,No Purchase
CUST_00111,SMB,26-35,LATAM,1,170.4,170.4,2024-10-15,2024-10-15,Medium Value
CUST_00112,Startup,18-25,EU,2,521.0799999999999,260.53999999999996,2024-10-29,2024-12-27,High Value
CUST_00113,Enterprise,46-55,APAC,1,379.35,379.35,2023-07-02,2023-07-02,High Value
CUST_00114,SMB,36-45,EU,1,106.34,106.34,2023-06-17,2023-06-17,Medium Value
CUST_00115,SMB,26-35,LATAM,0,0.0,0.0,,,No Purchase
CUST_00116,SMB,55+,APAC,0,0.0,0.0,,,No Purchase
CUST_00117,Startup,55+,US,0,0.0,0.0,,,No Purchase
CUST_00118,Enterprise,55+,LATAM,2,633.34,316.67,2023-05-25,2023-09-05,High Value
CUST_00119,SMB,36-45,LATAM,1,349.78,349.78,2024-05-11,2024-05-11,High Value
CUST_00120,SMB,55+,APAC,3,544.54,181.51333333333332,2024-05-26,2024-10-21,High Value
CUST_00121,SMB,18-25,US,2,199.45000000000002,99.72500000000001,2024-03-29,2024-05-27,Medium Value
CUST_00122,Enterprise,36-45,EU,4,523.78,130.945,2024-02-10,2024-08-22,High Value
CUST_00123,SMB,36-45,LATAM,1,50.09,50.09,2024-09-18,2024-09-18,Low Value
CUST_00124,Enterprise,26-35,US,0,0.0,0.0,,,No Purchase
CUST_00125,Enterprise,36-45,LATAM,0,0.0,0.0,,,No Purchase
CUST_00126,SMB,46-55,LATAM,0,0.0,0.0,,,No Purchase
CUST_00127,Enterprise,26-35,US,0,0.0,0.0,,,No Purchase
CUST_00128,Startup,26-35,EU,0,0.0,0.0,,,No Purchase
CUST_00129,Startup,18-25,US,1,157.21,157.21,2023-08-25,2023-08-25,Medium Value
CUST_00130,Enterprise,36-45,EU,2,524.29,262.145,2024-01-17,2024-05-10,High Value
CUST_00131,Enterprise,26-35,US,2,621.6800000000001,310.84000000000003,2024-01-20,2024-05-07,High Value
CUST_00132,Startup,26-35,LATAM,2,636.01,318.005,2024-03-19,2024-07-02,High Value
CUST_00133,Startup,26-35,EU,1,96.61,96.61,2023-05-04,2023-05-04,Low Value
CUST_00134,SMB,55+,EU,2,407.15999999999997,203.57999999999998,2024-10-28,2024-12-27,High Value
CUST_00135,SMB,46-55,APAC,1,127.0,127.0,2025-01-03,2025-01-03,Medium Value
CUST_00136,Enterprise,55+,US,1,190.17,190.17,2023-12-04,2023-12-04,Medium Value
CUST_00137,Enterprise,26-35,LATAM,1,237.58,237.58,2023-09-19,2023-09-19,Medium Value
CUST_00138,SMB,55+,APAC,1,163.47,163.47,2025-01-16,2025-01-16,Medium Value
CUST_00139,SMB,55+,US,0,0.0,0.0,,,No Purchase
CUST_00140,SMB,46-55,LATAM,0,0.0,0.0,,,No Purchase
CUST_00141,SMB,36-45,LATAM,3,343.35,114.45,2023-03-05,2023-08-31,High Value
CUST_00142,Enterprise,46-55,EU,0,0.0,0.0,,,No Purchase
CUST_00143,Enterprise,46-55,US,1,66.93,66.93,2023-06-16,2023-06-16,Low Value
CUST_00144,Enterprise,46-55,US,0,0.0,0.0,,,No Purchase
CUST_00145,SMB,55+,APAC,0,0.0,0.0,,,No Purchase
CUST_00146,Enterprise,46-55,LATAM,1,254.2,254.2,2023-02-01,2023-02-01,Medium Value
CUST_00147,Enterprise,46-55,LATAM,1,316.24,316.24,2024-12-21,2024-12-21,High Value
CUST_00148,Startup,46-55,APAC,1,165.66,165.66,2024-08-17,2024-08-17,Medium Value
CUST_00149,SMB,18-25,LATAM,1,330.1,330.1,2024-01-10,2024-01-10,High Value
CUST_00150,SMB,26-35,EU,1,361.77,361.77,2023-06-26,2023-06-26,High Value
CUST_00151,SMB,26-35,US,0,0.0,0.0,,,No Purchase
CUST_00152,Startup,46-55,US,2,518.81,259.405,2023-11-03,2024-01-13,High Value
CUST_00153,SMB,36-45,EU,2,260.85,130.425,2023-04-04,2023-08-02,Medium Value
CUST_00154,Enterprise,26-35,APAC,2,564.88,282.44,2023-02-23,2023-04-29,High Value
CUST_00155,SMB,18-25,EU,3,235.63,78.54333333333334,2024-03-09,2024-08-15,Medium Value
CUST_00156,Startup,36-45,LATAM,1,415.82,415.82,2024-04-15,2024-04-15,High Value
CUST_00157,SMB,55+,APAC,0,0.0,0.0,,,No Purchase
CUST_00158,Startup,55+,EU,1,464.36,464.36,2023-07-03,2023-07-03,High Value
CUST_00159,Enterprise,46-55,US,0,0.0,0.0,,,No Purchase
CUST_00160,Enterprise,55+,LATAM,1,170.24,170.24,2024-06-26,2024-06-26,Medium Value
CUST_00161,Startup,18-25,US,1,201.53,201.53,2023-09-27,2023-09-27,Medium Value
CUST_00162,Startup,55+,LATAM,0,0.0,0.0,,,No Purchase
CUST_00163,Enterprise,18-25,EU,1,244.38,244.38,2024-08-18,2024-08-18,Medium Value
CUST_00164,Enterprise,36-45,LATAM,2,414.98,207.49,2024-01-01,2024-03-28,High Value
CUST_00165,Startup,46-55,EU,1,287.08,287.08,2023-08-27,2023-08-27,Medium Value
CUST_00166,Startup,55+,US,1,332.16,332.16,2024-10-03,2024-10-03,High Value
CUST_00167,Startup,46-55,US,3,474.51000000000005,158.17000000000002,2023-06-13,2023-11-05,High Value
CUST_00168,SMB,18-25,LATAM,0,0.0,0.0,,,No Purchase
CUST_00169,Enterprise,36-45,EU,0,0.0,0.0,,,No Purchase
CUST_00170,Enterprise,55+,LATAM,1,91.56,91.56,2023-03-23,2023-03-23,Low Value
CUST_00171,Enterprise,18-25,LATAM,2,365.54999999999995,182.77499999999998,2024-02-27,2024-04-15,High Value
CUST_00172,SMB,18-25,LATAM,1,430.05,430.05,2024-10-04,2024-10-04,High Value
CUST_00173,SMB,46-55,US,0,0.0,0.0,,,No Purchase
CUST_00174,SMB,46-55,EU,1,440.25,440.25,2024-02-22,2024-02-22,High Value
CUST_00175,Enterprise,18-25,APAC,3,472.35,157.45000000000002,2024-08-30,2024-11-13,High Value
CUST_00176,Startup,36-45,EU,2,684.68,342.34,2024-02-21,2024-05-08,High Value
CUST_00177,Enterprise,46-55,US,0,0.0,0.0,,,No Purchase
CUST_00178,Enterprise,18-25,APAC,1,342.39,342.39,2024-05-18,2024-05-18,High Value
CUST_00179,SMB,36-45,APAC,1,63.74,63.74,2024-10-12,2024-10-12,Low Value
CUST_00180,SMB,46-55,APAC,0,0.0,0.0,,,No Purchase
CUST_00181,Startup,55+,APAC,2,229.68,114.84,2023-12-19,2024-03-30,Medium Value
CUST_00182,SMB,26-35,LATAM,0,0.0,0.0,,,No Purchase
CUST_00183,Startup,18-25,EU,1,66.82,66.82,2025-01-23,2025-01-23,Low Value
CUST_00184,SMB,26-35,LATAM,0,0.0,0.0,,,No Purchase
CUST_00185,Enterprise,55+,APAC,0,0.0,0.0,,,No Purchase
CUST_00186,Startup,26-35,US,1,123.67,123.67,2024-06-17,2024-06-17,Medium Value
CUST_00187,Startup,18-25,US,1,464.21,464.21,2024-09-17,2024-09-17,High Value
CUST_00188,Startup,36-45,APAC,1,490.49,490.49,2024-01-28,2024-01-28,High Value
CUST_00189,SMB,18-25,LATAM,1,448.93,448.93,2023-03-13,2023-03-13,High Value
CUST_00190,Startup,55+,US,2,413.86,206.93,2023-09-11,2024-01-07,High Value
CUST_00191,Enterprise,26-35,APAC,1,84.09,84.09,2023-04-16,2023-04-16,Low Value
CUST_00192,Enterprise,26-35,APAC,0,0.0,0.0,,,No Purchase
CUST_00193,Enterprise,55+,LATAM,0,0.0,0.0,,,No Purchase
CUST_00194,Enterprise,36-45,APAC,3,461.11,153.70333333333335,2023-06-28,2023-12-20,High Value
CUST_00195,Enterprise,46-55,LATAM,1,179.53,179.53,2024-01-06,2024-01-06,Medium Value
CUST_00196,SMB,55+,APAC,1,183.46,183.46,2024-07-03,2024-07-03,Medium Value
CUST_00197,Enterprise,46-55,EU,0,0.0,0.0,,,No Purchase
CUST_00198,SMB,46-55,APAC,1,465.54,465.54,2024-06-24,2024-06-24,High Value
CUST_00199,Enterprise,55+,US,1,77.88,77.88,2023-03-17,2023-03-17,Low Value
CUST_00200,Enterprise,18-25,APAC,0,0.0,0.0,,,No Purchase
CUST_00201,Enterprise,26-35,LATAM,0,0.0,0.0,,,No Purchase
CUST_00202,Startup,55+,APAC,1,321.15,321.15,2024-04-22,2024-04-22,High Value
CUST_00203,Startup,36-45,US,0,0.0,0.0,,,No Purchase
CUST_00204,Startup,36-45,EU,0,0.0,0.0,,,No Purchase
CUST_00205,Enterprise,26-35,APAC,0,0.0,0.0,,,No Purchase
CUST_00206,Enterprise,46-55,LATAM,5,724.5,144.9,2023-12-29,2024-12-13,High Value
CUST_00207,Startup,36-45,LATAM,0,0.0,0.0,,,No Purchase
CUST_00208,Enterprise,26-35,US,1,94.78,94.78,2024-12-31,2024-12-31,Low Value
CUST_00209,Enterprise,55+,LATAM,1,63.17,63.17,2023-05-22,2023-05-22,Low Value
CUST_00210,SMB,36-45,EU,1,383.81,383.81,2024-09-08,2024-09-08,High Value
CUST_00211,Enterprise,55+,APAC,1,51.14,51.14,2024-07-25,2024-07-25,Low Value
CUST_00212,Enterprise,18-25,EU,1,132.98,132.98,2024-11-25,2024-11-25,Medium Value
CUST_00213,Startup,36-45,APAC,2,584.44,292.22,2023-07-06,2023-09-30,High Value
CUST_00214,SMB,36-45,US,2,311.9,155.95,2023-01-27,2023-05-13,High Value
CUST_00215,SMB,46-55,LATAM,0,0.0,0.0,,,No Purchase
CUST_00216,Enterprise,36-45,APAC,1,314.31,314.31,2024-11-14,2024-11-14,High Value
CUST_00217,Enterprise,36-45,US,1,425.28,425.28,2023-09-28,2023-09-28,High Value
CUST_00218,Startup,55+,US,1,66.68,66.68,2024-10-04,2024-10-04,Low Value
CUST_00219,Startup,36-45,LATAM,0,0.0,0.0,,,No Purchase
CUST_00220,Enterprise,18-25,US,1,427.04,427.04,2023-10-16,2023-10-16,High Value
CUST_00221,SMB,18-25,EU,2,201.76000000000002,100.88000000000001,2024-02-10,2024-05-05,Medium Value
CUST_00222,SMB,18-25,US,3,504.6,168.20000000000002,2024-06-25,2024-11-21,High Value
CUST_00223,Enterprise,55+,US,2,383.47,191.735,2023-11-20,2024-03-07,High Value
CUST_00224,Startup,55+,US,3,621.58,207.19333333333336,2023-03-30,2023-08-14,High Value
CUST_00225,SMB,36-45,EU,2,549.73,274.865,2024-05-29,2024-07-06,High Value
CUST_00226,SMB,46-55,LATAM,1,466.56,466.56,2023-02-15,2023-02-15,High Value
CUST_00227,Enterprise,46-55,APAC,0,0.0,0.0,,,No Purchase
CUST_00228,Enterprise,18-25,US,0,0.0,0.0,,,No Purchase
CUST_00229,Startup,36-45,APAC,0,0.0,0.0,,,No Purchase
CUST_00230,SMB,36-45,US,1,230.46,230.46,2024-02-04,2024-02-04,Medium Value
CUST_00231,SMB,18-25,LATAM,0,0.0,0.0,,,No Purchase
CUST_00232,SMB,26-35,LATAM,2,639.75,319.875,2023-11-09,2023-12-10,High Value
CUST_00233,Startup,46-55,US,0,0.0,0.0,,,No Purchase
CUST_00234,SMB,18-25,APAC,2,325.4,162.7,2023-07-14,2023-09-02,High Value
CUST_00235,SMB,36-45,LATAM,2,363.98,181.99,2023-09-27,2023-12-05,High Value
CUST_00236,SMB,18-25,APAC,0,0.0,0.0,,,No Purchase
CUST_00237,Enterprise,46-55,US,0,0.0,0.0,,,No Purchase
CUST_00238,Enterprise,26-35,US,1,112.32,112.32,2023-12-13,2023-12-13,Medium Value
CUST_00239,SMB,55+,APAC,1,196.01,196.01,2023-03-19,2023-03-19,Medium Value
CUST_00240,SMB,26-35,LATAM,1,431.84,431.84,2024-03-19,2024-03-19,High Value
CUST_00241,SMB,55+,EU,0,0.0,0.0,,,No Purchase
CUST_00242,Startup,26-35,APAC,1,232.65,232.65,2023-11-27,2023-11-27,Medium Value
CUST_00243,Enterprise,46-55,EU,0,0.0,0.0,,,No Purchase
CUST_00244,SMB,46-55,APAC,0,0.0,0.0,,,No Purchase
CUST_00245,Startup,36-45,EU,1,385.34,385.34,2023-04-04,2023-04-04,High Value
CUST_00246,SMB,18-25,EU,2,660.1,330.05,2024-06-09,2024-08-08,High Value
CUST_00247,SMB,18-25,EU,2,387.76,193.88,2023-08-13,2023-10-01,High Value
CUST_00248,SMB,26-35,APAC,2,545.75,272.875,2024-02-10,2024-05-11,High Value
CUST_00249,Enterprise,26-35,US,0,0.0,0.0,,,No Purchase
CUST_00250,SMB,18-25,US,1,187.4,187.4,2024-09-17,2024-09-17,Medium Value
CUST_00251,SMB,18-25,EU,1,400.31,400.31,2024-10-03,2024-10-03,High Value
CUST_00252,SMB,55+,LATAM,1,299.3,299.3,2024-05-20,2024-05-20,Medium Value
CUST_00253,SMB,18-25,US,0,0.0,0.0,,,No Purchase
CUST_00254,SMB,55+,EU,1,117.54,117.54,2024-01-06,2024-01-06,Medium Value
CUST_00255,Enterprise,36-45,EU,0,0.0,0.0,,,No Purchase
CUST_00256,Startup,18-25,LATAM,2,170.93,85.465,2023-07-13,2023-08-27,Medium Value
CUST_00257,Enterprise,26-35,EU,2,355.12,177.56,2023-05-14,2023-07-28,High Value
CUST_00258,Startup,26-35,APAC,1,255.71,255.71,2023-12-10,2023-12-10,Medium Value
CUST_00259,Startup,18-25,EU,1,359.99,359.99,2023-07-15,2023-07-15,High Value
CUST_00260,Startup,18-25,APAC,0,0.0,0.0,,,No Purchase
CUST_00261,SMB,18-25,US,3,442.08000000000004,147.36,2024-02-02,2024-06-09,High Value
CUST_00262,Enterprise,18-25,US,1,160.3,160.3,2024-10-23,2024-10-23,Medium Value
CUST_00263,Startup,26-35,US,2,550.97,275.485,2024-07-09,2024-08-31,High Value
CUST_00264,Enterprise,26-35,EU,0,0.0,0.0,,,No Purchase
CUST_00265,Startup,36-45,APAC,0,0.0,0.0,,,No Purchase
CUST_00266,Enterprise,55+,LATAM,1,485.79,485.79,2023-05-20,2023-05-20,High Value
CUST_00267,Startup,55+,LATAM,1,201.59,201.59,2023-03-11,2023-03-11,Medium Value
CUST_00268,Startup,26-35,APAC,1,452.79,452.79,2023-10-17,2023-10-17,High Value
CUST_00269,Enterprise,26-35,EU,1,150.31,150.31,2023-12-07,2023-12-07,Medium Value
CUST_00270,Startup,18-25,US,0,0.0,0.0,,,No Purchase
CUST_00271,SMB,18-25,APAC,2,373.15,186.575,2023-08-01,2023-11-17,High Value
CUST_00272,Startup,46-55,US,1,494.29,494.29,2025-01-09,2025-01-09,High Value
CUST_00273,Startup,36-45,EU,1,461.19,461.19,2023-09-19,2023-09-19,High Value
CUST_00274,Startup,18-25,APAC,1,162.61,162.61,2024-11-08,2024-11-08,Medium Value
CUST_00275,Startup,26-35,EU,0,0.0,0.0,,,No Purchase
CUST_00276,SMB,46-55,LATAM,7,1198.14,171.16285714285715,2023-07-19,2024-11-19,High Value
CUST_00277,SMB,46-55,APAC,0,0.0,0.0,,,No Purchase
CUST_00278,Enterprise,18-25,US,1,344.62,344.62,2024-05-29,2024-05-29,High Value
CUST_00279,SMB,55+,US,1,131.88,131.88,2024-09-25,2024-09-25,Medium Value
CUST_00280,SMB,18-25,APAC,1,100.39,100.39,2024-08-05,2024-08-05,Medium Value
CUST_00281,Startup,46-55,LATAM,1,60.23,60.23,2023-03-15,2023-03-15,Low Value
CUST_00282,SMB,26-35,LATAM,0,0.0,0.0,,,No Purchase
CUST_00283,Enterprise,46-55,LATAM,0,0.0,0.0,,,No Purchase
CUST_00284,SMB,18-25,LATAM,0,0.0,0.0,,,No Purchase
CUST_00285,Startup,18-25,APAC,1,224.45,224.45,2024-11-11,2024-11-11,Medium Value
CUST_00286,Enterprise,46-55,LATAM,1,180.89,180.89,2024-12-25,2024-12-25,Medium Value
CUST_00287,Enterprise,36-45,US,0,0.0,0.0,,,No Purchase
CUST_00288,Enterprise,55+,APAC,2,663.51,331.755,2024-07-05,2024-10-26,High Value
CUST_00289,Startup,18-25,APAC,2,387.88,193.94,2023-03-19,2023-05-22,High Value
CUST_00290,Enterprise,26-35,LATAM,2,549.53,274.765,2024-07-03,2024-09-12,High Value
CUST_00291,Startup,18-25,APAC,2,244.85000000000002,122.42500000000001,2024-07-31,2024-10-27,Medium Value
CUST_00292,Startup,26-35,EU,1,175.9,175.9,2024-05-07,2024-05-07,Medium Value
CUST_00293,SMB,36-45,EU,0,0.0,0.0,,,No Purchase
CUST_00294,Startup,55+,APAC,2,288.25,144.125,2024-04-13,2024-07-25,Medium Value
CUST_00295,SMB,55+,US,1,65.75,65.75,2023-02-03,2023-02-03,Low Value
CUST_00296,Startup,46-55,EU,0,0.0,0.0,,,No Purchase
CUST_00297,Startup,46-55,EU,0,0.0,0.0,,,No Purchase
CUST_00298,Enterprise,26-35,APAC,1,447.26,447.26,2024-12-29,2024-12-29,High Value
CUST_00299,Enterprise,26-35,US,0,0.0,0.0,,,No Purchase
CUST_00300,SMB,18-25,EU,2,455.41999999999996,227.70999999999998,2023-07-08,2023-09-22,High Value
CUST_00301,Enterprise,18-25,LATAM,0,0.0,0.0,,,No Purchase
CUST_00302,Startup,36-45,EU,1,457.7,457.7,2024-07-06,2024-07-06,High Value
CUST_00303,Startup,46-55,APAC,3,673.1,224.36666666666667,2023-02-04,2023-08-31,High Value
CUST_00304,SMB,46-55,EU,0,0.0,0.0,,,No Purchase
CUST_00305,Startup,26-35,EU,1,392.02,392.02,2023-10-22,2023-10-22,High Value
CUST_00306,Enterprise,18-25,US,2,642.29,321.145,2023-10-09,2023-12-05,High Value
CUST_00307,SMB,55+,APAC,2,644.18,322.09,2024-10-24,2024-11-28,High Value
CUST_00308,Startup,36-45,EU,0,0.0,0.0,,,No Purchase
